scheme,d,rep,verify_us
rechain,48,92,3142.28
rechain,48,93,3480.85
rechain,48,94,4887.02
rechain,48,95,3805.65
rechain,48,96,8578.55
rechain,48,97,5396.68
rechain,48,98,3610.79
rechain,48,99,2904.16
rechain,64,0,4205.44
rechain,64,1,5771.18
rechain,64,2,8691.95
rechain,64,3,4102.46
rechain,64,4,5130.44
rechain,64,5,4957.56
rechain,64,6,9189.36
rechain,64,7,9169.79
rechain,64,8,11558.02
rechain,64,9,11090.07
rechain,64,10,11563.51
rechain,64,11,10157.05
rechain,64,12,6574.23
rechain,64,13,3550.40
rechain,64,14,6006.03
rechain,64,15,5113.05
rechain,64,16,3802.06
rechain,64,17,3846.90
rechain,64,18,4969.57
rechain,64,19,8076.37
rechain,64,20,5894.04
rechain,64,21,4825.36
rechain,64,22,5119.76
rechain,64,23,5764.52
rechain,64,24,10912.85
rechain,64,25,11061.49
rechain,64,26,10281.14
rechain,64,27,10389.90
rechain,64,28,5587.03
rechain,64,29,4948.74
rechain,64,30,4533.70
rechain,64,31,4786.02
rechain,64,32,3817.18
rechain,64,33,4213.33
rechain,64,34,4202.81
rechain,64,35,5890.21
rechain,64,36,6312.86
rechain,64,37,3986.10
rechain,64,38,5123.86
rechain,64,39,6698.14
rechain,64,40,4671.41
rechain,64,41,4344.70
rechain,64,42,5474.99
rechain,64,43,4352.23
rechain,64,44,4891.24
rechain,64,45,5264.56
rechain,64,46,4872.00
rechain,64,47,4505.58
rechain,64,48,3835.39
rechain,64,49,4118.16
rechain,64,50,3726.55
rechain,64,51,5663.18
rechain,64,52,4558.02
rechain,64,53,3833.14
rechain,64,54,4652.94
rechain,64,55,4542.81
rechain,64,56,4001.99
rechain,64,57,6167.43
rechain,64,58,8810.16
rechain,64,59,5931.85
rechain,64,60,6890.35
rechain,64,61,5029.83
rechain,64,62,4560.39
rechain,64,63,6259.12
rechain,64,64,5825.39
rechain,64,65,4488.99
rechain,64,66,5666.44
rechain,64,67,7991.80
rechain,64,68,4422.78
rechain,64,69,4155.85
rechain,64,70,7761.47
rechain,64,71,4055.93
rechain,64,72,5444.02
rechain,64,73,4607.65
rechain,64,74,5366.36
rechain,64,75,5376.47
rechain,64,76,7874.95
rechain,64,77,5315.56
rechain,64,78,4091.83
rechain,64,79,5367.12
rechain,64,80,4802.24
rechain,64,81,4068.01
rechain,64,82,4990.81
rechain,64,83,12314.75
rechain,64,84,3618.79
rechain,64,85,5552.29
rechain,64,86,5375.24
rechain,64,87,4682.53
rechain,64,88,4223.14
rechain,64,89,4053.73
rechain,64,90,6696.36
rechain,64,91,3948.90
rechain,64,92,4165.85
rechain,64,93,8052.41
rechain,64,94,5712.51
rechain,64,95,5300.35
rechain,64,96,4622.47
rechain,64,97,7601.81
rechain,64,98,5041.59
rechain,64,99,4699.48
rechain,96,0,6917.00
rechain,96,1,8614.62
rechain,96,2,8495.20
rechain,96,3,7385.60
rechain,96,4,6429.74
rechain,96,5,6959.51
rechain,96,6,6402.80
rechain,96,7,6816.74
rechain,96,8,6414.42
rechain,96,9,10008.48
rechain,96,10,9093.57
rechain,96,11,10839.96
