scheme,d,rep,verify_us
evmldsa,0,220,69.86
evmldsa,0,221,68.73
evmldsa,0,222,66.38
evmldsa,0,223,67.30
evmldsa,0,224,65.78
evmldsa,0,225,65.62
evmldsa,0,226,65.31
evmldsa,0,227,67.75
evmldsa,0,228,70.34
evmldsa,0,229,68.17
evmldsa,0,230,80.05
evmldsa,0,231,69.57
evmldsa,0,232,68.93
evmldsa,0,233,81.60
evmldsa,0,234,71.05
evmldsa,0,235,70.65
evmldsa,0,236,70.11
evmldsa,0,237,69.78
evmldsa,0,238,71.07
evmldsa,0,239,76.96
evmldsa,0,240,68.91
evmldsa,0,241,69.60
evmldsa,0,242,70.07
evmldsa,0,243,69.55
evmldsa,0,244,69.55
evmldsa,0,245,70.20
evmldsa,0,246,67.89
evmldsa,0,247,69.16
evmldsa,0,248,68.11
evmldsa,0,249,68.39
evmldsa,0,250,67.35
evmldsa,0,251,67.95
evmldsa,0,252,68.08
evmldsa,0,253,77.58
evmldsa,0,254,66.67
evmldsa,0,255,66.94
evmldsa,0,256,66.60
evmldsa,0,257,67.44
evmldsa,0,258,66.62
evmldsa,0,259,66.95
evmldsa,0,260,68.10
evmldsa,0,261,67.29
evmldsa,0,262,68.83
evmldsa,0,263,69.04
evmldsa,0,264,67.62
evmldsa,0,265,66.96
evmldsa,0,266,66.95
evmldsa,0,267,66.09
evmldsa,0,268,66.62
evmldsa,0,269,68.26
evmldsa,0,270,65.34
evmldsa,0,271,64.18
evmldsa,0,272,63.81
evmldsa,0,273,63.93
evmldsa,0,274,64.16
evmldsa,0,275,65.09
evmldsa,0,276,75.85
evmldsa,0,277,64.43
evmldsa,0,278,64.68
evmldsa,0,279,65.47
evmldsa,0,280,76.58
evmldsa,0,281,66.51
evmldsa,0,282,65.02
evmldsa,0,283,64.73
evmldsa,0,284,66.89
evmldsa,0,285,62.79
evmldsa,0,286,63.31
evmldsa,0,287,64.50
evmldsa,0,288,63.75
evmldsa,0,289,66.06
evmldsa,0,290,65.99
evmldsa,0,291,64.70
evmldsa,0,292,67.47
evmldsa,0,293,62.73
evmldsa,0,294,66.50
evmldsa,0,295,65.68
evmldsa,0,296,67.37
evmldsa,0,297,68.33
evmldsa,0,298,73.56
evmldsa,0,299,80.95
